iata,icao,unlocode,place_id,place_name,place_region,place_country
ASG,NZAS,NZASG,6219010,Netherby,Canterbury,NZ
ASH,KASH,USASH,5090046,Nashua,New Hampshire,US
ASI,FHAW,SHASI,2411397,Georgetown,Ascension,SH
ASJ,RJKA,JPASJ,7303145,amami,,JP
ASK,DIYO,CIASK,2279755,Yamoussoukro,Lacs,CI
ASL,KASL,USASL,4709272,Marshall,Texas,US
ASM,HHAS,ERASM,343300,Asmara,Maekel,ER
ASN,KASN,USASN,4092788,Talladega,Alabama,US
ASO,HASO,ETASO,343292,Āsosa,Bīnshangul Gumuz,ET
ASP,YBAS,AUASP,2077895,Alice Springs,Northern Territory,AU
ASQ,KTMT,USASQ,5499537,Austin,Nevada,US
ASR,LTAU,TRASR,308464,Kayseri,Kayseri,TR
ASS,,,944678,Varty,Mpumalanga,ZA
AST,KAST,,5733530,Jeffers Garden,Oregon,US
ASU,SGAS,PYASU,3439389,Asunción,Asunción,PY
ASV,HKAM,KEASV,201050,Amboseli,Kajiado,KE
ASW,HESN,EGASW,359792,Aswān,Aswan,EG
ASX,KASX,USASX,5244247,Ashland,Wisconsin,US
ASY,KASY,USASY,5058135,Ashley,North Dakota,US
ASZ,,PGASZ,2095552,Iok,West New Britain,PG
ATA,SPHZ,PEATA,3699617,Anta,Ancash,PE
ATB,HSAT,SDATB,378231,Atbara,River Nile,SD
ATC,MYCA,BSATC,3572897,Arthur’s Town,Cat Island,BS
ATD,AGAT,SBATD,2109711,Ato’ifi,,SB
ATE,,USATE,4529418,Antlers,Oklahoma,US
ATF,SEAM,ECATF,3660689,Ambato,Tungurahua,EC
ATG,,PKATG,8504972,Attock,Punjab,PK
ATH,LGAV,GRATH,264371,Athens,Attica,GR
ATI,SUAG,UYATI,3443758,Artigas,Artigas,UY
ATJ,FMME,MGATJ,1069166,Antsirabe,Vakinankaratra,MG
ATK,PATQ,USATK,5879756,Atqasuk,Alaska,US
ATL,KATL,USATL,4180439,Atlanta,Georgia,US
ATM,SBHT,BRATM,3407882,Altamira,Pará,BR
ATN,AYNX,PGATN,2090020,Namatanai,New Ireland,PG
ATO,KUNI,USATO,4505542,Athens,Ohio,US
ATP,AYAI,PGATP,2101169,Aitape,Sandaun,PG
ATQ,VIAR,INATQ,1278710,Amritsar,Punjab,IN
ATR,GQPA,,2381334,Atar,Adrar,MR
ATS,KATS,USATS,5455796,Artesia,New Mexico,US
ATT,,USATT,5879749,Atmautluak,Alaska,US
ATU,,USATU,4045976,Navy Town,Alaska,US
ATV,FTTI,TDATV,2436400,Ati,Batha,TD
ATW,KATW,USATW,5244080,Appleton,Wisconsin,US
ATX,,KZATX,1526038,Atbasar,Aqmola,KZ
ATY,KATY,USATY,5232741,Watertown,South Dakota,US
ATZ,HEAT,,359783,Asyūţ,Asyut,EG
AUA,TNCA,AWAUA,3577154,Oranjestad,,AW
AUC,SKUC,COAUC,3689718,Arauca,Arauca,CO
AUE,,EGAUE,362208,Abū Rudays,South Sinai,EG
AUF,LFLA,,3035843,Auxerre,Bourgogne-Franche-Comté,FR
AUG,KAUG,USAUG,4957003,Augusta,Maine,US
AUH,OMAA,AEAUH,292968,Abu Dhabi,Abu Dhabi,AE
AUI,AYND,PGAUI,2100340,Auna Village,Manus,PG
AUJ,AYAT,PGAUJ,2100933,Ambunti,East Sepik,PG
AUK,PAUK,USAUK,5879057,Alakanuk,Alaska,US
AUL,,MHAUL,2080879,Tabal,Aur Atoll,MH
AUM,KAUM,USAUM,5016884,Austin,Minnesota,US
AUN,KAUN,USAUN,5377266,North Auburn,California,US
